index,file,class,type,cbo_x,cboModified_x,fanin_x,fanout_x,wmc_x,dit,noc,rfc_x,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc_x,returnQty,loopQty_x,comparisonsQty_x,tryCatchQty_x,parenthesizedExpsQty_x,stringLiteralsQty_x,numbersQty_x,assignmentsQty_x,mathOperationsQty_x,variablesQty_x,maxNestedBlocksQty_x,anonymousClassesQty_x,innerClassesQty_x,lambdasQty_x,uniqueWordsQty_x,modifiers_x,logStatementsQty_x,method,constructor,line,cbo_y,cboModified_y,fanin_y,fanout_y,wmc_y,rfc_y,loc_y,returnsQty,variablesQty_y,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty_y,comparisonsQty_y,tryCatchQty_y,parenthesizedExpsQty_y,stringLiteralsQty_y,numbersQty_y,assignmentsQty_y,mathOperationsQty_y,maxNestedBlocksQty_y,anonymousClassesQty_y,innerClassesQty_y,lambdasQty_y,uniqueWordsQty_y,modifiers_y,logStatementsQty_y,hasJavaDoc,commit_hash,project_name
312,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,getPrev/0,False,66.0,1.0,9.0,9.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,False,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
313,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,getInstructionHandle/1[org.apache.bcel.generic.Instruction],False,121.0,2.0,4.0,2.0,2.0,2.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
314,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,setInstruction/1[org.apache.bcel.generic.Instruction],False,80.0,4.0,4.0,2.0,2.0,5.0,2.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
315,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,swapInstruction/1[org.apache.bcel.generic.Instruction],False,105.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
316,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,removeAttribute/1[java.lang.Object],False,268.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
317,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,removeTargeter/1[org.apache.bcel.generic.InstructionTargeter],False,199.0,1.0,2.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
318,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,getAttributes/0,False,289.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
319,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,getPosition/0,False,152.0,0.0,9.0,9.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
320,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,dispose/0,False,176.0,2.0,5.0,2.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
321,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/verifier/exc/LinkingConstraintException.java,org.apache.bcel.verifier.exc.LinkingConstraintException,class,1,1,0,1,0,8,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,79,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
