,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,project_name
42666,42666,42666,42666,42666,42666,42666,Public Method,org.apache.bcel.verifier.structurals.LocalVariables.maxLocals(),main/java/org/apache/bcel/verifier/structurals/LocalVariables.java,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,33,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42667,42667,42667,42667,42667,42667,42667,Public Method,org.apache.bcel.verifier.structurals.LocalVariables.merge(LocalVariables),main/java/org/apache/bcel/verifier/structurals/LocalVariables.java,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0,2.0,8.0,1.0,4.0,4.0,2.0,4.0,4.0,7.0,2.0,5.0,3.0,3.0,3.0,1.0,,,,,,1.0,,0,50,3,3,3,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42668,42668,42668,42668,42668,42668,42668,Private Method,"org.apache.bcel.verifier.structurals.LocalVariables.merge(LocalVariables,int)",main/java/org/apache/bcel/verifier/structurals/LocalVariables.java,,,,,,,,,,,,,,,,,,,,,,,,,6.0,57.0,2.0,37.0,2.0,24.0,19.0,7.0,61.0,8.0,18.0,2.0,17.0,10.0,10.0,14.0,1.0,,,,,,4.0,,0,51,10,10,14,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42669,42669,42669,42669,42669,42669,42669,Public Method,"org.apache.bcel.verifier.structurals.LocalVariables.set(int,Type)",main/java/org/apache/bcel/verifier/structurals/LocalVariables.java,,,,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,0.0,6.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,5.0,1.0,,,,,,1.0,,0,67,2,2,5,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42670,42670,42670,42670,42670,42670,42670,Public Method,org.apache.bcel.verifier.structurals.LocalVariables.toString(),main/java/org/apache/bcel/verifier/structurals/LocalVariables.java,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,0.0,11.0,3.0,7.0,3.0,6.0,2.0,8.0,10.0,3.0,8.0,2.0,2.0,2.0,1.0,,,,,,1.0,,0,27,2,2,2,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42671,42671,42671,42671,42671,42671,42671,Public Class,org.apache.bcel.verifier.structurals.OperandStack,main/java/org/apache/bcel/verifier/structurals/OperandStack.java,1.0,1.0,2.0,1.0,11.0,0.0,7.0,4.0,2.0,12.0,0.0,,0.0,0.0,,,19.0,2.0,19.0,32.0,0.0,0.0,0.0,19.0,,246.0,22.0,137.0,33.0,74.0,91.0,,,60.0,98.0,33.0,70.0,,,,,10.0,10.0,15.0,1.0,1.0,4.0,52.0,0,66,37,37,45,19,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42672,42672,42672,42672,42672,42672,42672,Public Constructor,org.apache.bcel.verifier.structurals.OperandStack.OperandStack(int),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42673,42673,42673,42673,42673,42673,42673,Public Constructor,"org.apache.bcel.verifier.structurals.OperandStack.OperandStack(int,ObjectType)",main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42674,42674,42674,42674,42674,42674,42674,Public Method,org.apache.bcel.verifier.structurals.OperandStack.clear(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42675,42675,42675,42675,42675,42675,42675,Public Method,org.apache.bcel.verifier.structurals.OperandStack.clone(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,0.0,8.0,5.0,4.0,6.0,4.0,1.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,,0.0,,0,75,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42676,42676,42676,42676,42676,42676,42676,Public Method,org.apache.bcel.verifier.structurals.OperandStack.equals(Object),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,4.0,13.0,0.0,8.0,3.0,4.0,5.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,,,1.0,,0,62,2,2,2,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42677,42677,42677,42677,42677,42677,42677,Public Method,org.apache.bcel.verifier.structurals.OperandStack.getClone(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,0.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,67,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42678,42678,42678,42678,42678,42678,42678,Public Method,org.apache.bcel.verifier.structurals.OperandStack.hashCode(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42679,42679,42679,42679,42679,42679,42679,Public Method,org.apache.bcel.verifier.structurals.OperandStack.initializeObject(UninitializedObjectType),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,3.0,11.0,0.0,7.0,1.0,3.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0,3.0,3.0,3.0,1.0,,,,,,2.0,,0,57,3,3,3,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42680,42680,42680,42680,42680,42680,42680,Public Method,org.apache.bcel.verifier.structurals.OperandStack.isEmpty(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42681,42681,42681,42681,42681,42681,42681,Public Method,org.apache.bcel.verifier.structurals.OperandStack.maxStack(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42682,42682,42682,42682,42682,42682,42682,Public Method,org.apache.bcel.verifier.structurals.OperandStack.merge(OperandStack),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,4.0,46.0,1.0,34.0,1.0,22.0,14.0,9.0,75.0,9.0,19.0,2.0,17.0,10.0,10.0,15.0,1.0,,,,,,4.0,,0,41,10,10,15,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42683,42683,42683,42683,42683,42683,42683,Public Method,org.apache.bcel.verifier.structurals.OperandStack.peek(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,109.0,6.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42684,42684,42684,42684,42684,42684,42684,Public Method,org.apache.bcel.verifier.structurals.OperandStack.peek(int),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,83.0,7.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,33,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42685,42685,42685,42685,42685,42685,42685,Public Method,org.apache.bcel.verifier.structurals.OperandStack.pop(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,128.0,7.0,0.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,0.0,,0,75,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42686,42686,42686,42686,42686,42686,42686,Public Method,org.apache.bcel.verifier.structurals.OperandStack.pop(int),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,0.0,6.0,1.0,3.0,3.0,2.0,2.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,,,,,,1.0,,0,50,2,2,2,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42687,42687,42687,42687,42687,42687,42687,Public Method,org.apache.bcel.verifier.structurals.OperandStack.push(Type),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,111.0,16.0,0.0,13.0,1.0,8.0,3.0,3.0,8.0,4.0,8.0,1.0,7.0,4.0,4.0,7.0,1.0,,,,,,1.0,,0,23,4,4,7,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42688,42688,42688,42688,42688,42688,42688,Public Method,org.apache.bcel.verifier.structurals.OperandStack.size(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42689,42689,42689,42689,42689,42689,42689,Public Method,org.apache.bcel.verifier.structurals.OperandStack.slotsUsed(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15.0,0.0,7.0,2.0,4.0,8.0,4.0,2.0,5.0,7.0,3.0,4.0,2.0,2.0,2.0,1.0,,,,,,1.0,,1,14,2,2,2,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42690,42690,42690,42690,42690,42690,42690,Public Method,org.apache.bcel.verifier.structurals.OperandStack.toString(),main/java/org/apache/bcel/verifier/structurals/OperandStack.java,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,0.0,16.0,3.0,12.0,3.0,11.0,2.0,13.0,15.0,3.0,13.0,2.0,2.0,2.0,1.0,,,,,,1.0,,0,19,2,2,2,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42691,42691,42691,42691,42691,42691,42691,Public Final Class,org.apache.bcel.verifier.structurals.Pass3bVerifier,main/java/org/apache/bcel/verifier/structurals/Pass3bVerifier.java,9.0,9.0,10.0,2.0,57.0,4.0,40.0,14.0,1.0,42.0,0.0,,0.0,1.0,,,5.0,2.0,5.0,22.0,0.0,1.0,0.0,4.0,,353.0,33.0,229.0,65.0,149.0,101.0,,,109.0,159.0,61.0,131.0,,,,,29.0,29.0,30.0,6.0,2.0,6.0,50.0,0,44,45,45,50,13,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
42692,42692,42692,42692,42692,42692,42692,Private Static Final Class,org.apache.bcel.verifier.structurals.Pass3bVerifier.InstructionContextQueue,main/java/org/apache/bcel/verifier/structurals/Pass3bVerifier.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,4.0,0.0,,0.0,0.0,,,6.0,2.0,6.0,19.0,0.0,0.0,0.0,6.0,,37.0,0.0,24.0,9.0,10.0,14.0,,,10.0,17.0,9.0,10.0,,,,,1.0,1.0,1.0,1.0,1.0,0.0,33.0,0,58,6,6,6,6,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
